Name,Used By,Type,Default,Minimum,Notes,Supported
Damping,G,double,0.99,0.0,neato only,
K,GC,double,0.3,0,"sfdp, fdp only",
URL,ENGC,escString,<none>,,"svg, postscript, map only",yes
_background,G,string,<none>,,,
area,NC,double,1.0,>0,patchwork only,
arrowhead,E,arrowType,normal,,,yes
arrowsize,E,double,1.0,0.0,,yes
arrowtail,E,arrowType,normal,,,yes
bb,G,rect,,,write only,
bgcolor,GC,"color 
colorList",<none>,,,yes
center,G,bool,false,,,yes
charset,G,string,"""UTF-8""",,,yes
class,ENCG,string,"""""",,svg only,
clusterrank,G,clusterMode,local,,dot only,yes
color,ENC,"color 
colorList",black,,,yes
colorscheme,ENCG,string,"""""",,,yes
comment,ENG,string,"""""",,,yes
compound,G,bool,false,,dot only,yes
concentrate,G,bool,false,,,yes
constraint,E,bool,true,,dot only,yes
decorate,E,bool,false,,,yes
defaultdist,G,double,1+(avg. len)*sqrt(|V|),epsilon,neato only,
dim,G,int,2,2,"sfdp, fdp, neato only",
dimen,G,int,2,2,"sfdp, fdp, neato only",
dir,E,dirType,"forward(directed)
none(undirected)",,,yes
diredgeconstraints,G,"string
bool",false,,neato only,
distortion,N,double,0.0,-100.0,,yes
dpi,G,double,"96.0
0.0",,"svg, bitmap output only",yes
edgeURL,E,escString,"""""",,"svg, map only",yes
edgehref,E,escString,"""""",,"svg, map only",yes
edgetarget,E,escString,<none>,,"svg, map only",yes
edgetooltip,E,escString,"""""",,"svg, cmap only",yes
epsilon,G,double,".0001 * # nodes(mode == KK)
.0001(mode == major)
.01(mode == sgd)",,neato only,
esep,G,"addDouble 
addPoint",+3,,not dot,
fillcolor,NEC,"color 
colorList","lightgrey(nodes)
black(clusters)",,,yes
fixedsize,N,"bool 
string",false,,,yes
fontcolor,ENGC,color,black,,,yes
fontname,ENGC,string,"""Times-Roman""",,,yes
fontnames,G,string,"""""",,svg only,
fontpath,G,string,system-dependent,,,yes
fontsize,ENGC,double,14.0,1.0,,yes
forcelabels,G,bool,true,,,yes
gradientangle,NCG,int,"""""",,,yes
group,N,string,"""""",,dot only,yes
headURL,E,escString,"""""",,"svg, map only",yes
head_lp,E,point,,,write only,
headclip,E,bool,true,,,yes
headhref,E,escString,"""""",,"svg, map only",yes
headlabel,E,lblString,"""""",,,yes
headport,E,portPos,center,,,yes
headtarget,E,escString,<none>,,"svg, map only",yes
headtooltip,E,escString,"""""",,"svg, cmap only",yes
height,N,double,0.5,0.02,,yes
href,GCNE,escString,"""""",,"svg, postscript, map only",yes
id,GCNE,escString,"""""",,"svg, postscript, map only",yes
image,N,string,"""""",,,yes
imagepath,G,string,"""""",,,yes
imagepos,N,string,"""mc""",,,yes
imagescale,N,"bool 
string",false,,,yes
inputscale,G,double,<none>,,"fdp, neato only",
label,ENGC,lblString,"""\N"" (nodes)
"""" (otherwise)",,,yes
labelURL,E,escString,"""""",,"svg, map only",yes
label_scheme,G,int,0,0,sfdp only,
labelangle,E,double,-25.0,-180.0,,yes
labeldistance,E,double,1.0,0.0,,yes
labelfloat,E,bool,false,,,yes
labelfontcolor,E,color,black,,,yes
labelfontname,E,string,"""Times-Roman""",,,yes
labelfontsize,E,double,14.0,1.0,,yes
labelhref,E,escString,"""""",,"svg, map only",yes
labeljust,GC,string,"""c""",,,yes
labelloc,NGC,string,"""t""(clusters)
""b""(root graphs)
""c""(nodes)",,,yes
labeltarget,E,escString,<none>,,"svg, map only",yes
labeltooltip,E,escString,"""""",,"svg, cmap only",yes
landscape,G,bool,false,,,yes
layer,ENC,layerRange,"""""",,,
layerlistsep,G,string,""",""",,,
layers,G,layerList,"""""",,,
layerselect,G,layerRange,"""""",,,
layersep,G,string,""" :\t""",,,
layout,G,string,"""""",,,
len,E,double,"1.0(neato)
0.3(fdp)",,"fdp, neato only",yes
levels,G,int,MAXINT,0.0,sfdp only,
levelsgap,G,double,0.0,,neato only,
lhead,E,string,"""""",,dot only,yes
